gene,logrank_chi2,logrank_p,cox_hr,cox_ci_lower,cox_ci_upper,cox_p,n_high,n_low
LST1,0.46273459859513394,0.4963487204259398,1.1251234414713507,0.891386616969582,1.4201500610946844,0.3210656313697773,60,60
S100A11,1.6030821100781356,0.20546697714646334,1.1637114091725518,0.9676067247223876,1.3995605954752968,0.10734054202090237,60,60
S100A8,0.03953858273107698,0.8423854717042318,1.0534325893850738,0.8733996036961132,1.2705755941293657,0.5861792041684233,60,60
ZNF106,0.03335900548529642,0.8550769826058383,0.9595232494966077,0.8134783770177664,1.1317877553178302,0.6238027090802847,60,60
