rank	gene_A	gene_B	tumor_collapse	healthy_collapse	healthy_collapse_raw	therapeutic_index	bliss_synergy	loewe_synergy
1	S100A11	ZNF106	0.014319	0.033120	0.005052	-1.80	-0.015420	-0.007733
2	ZNF106	LST1	0.013007	0.037766	0.005775	-1.94	-0.007537	-0.003776
3	S100A8	ZNF106	0.012985	0.030514	0.004648	-1.95	-0.017014	-0.008534
4	S100A11	LST1	0.003539	0.022448	0.003406	-2.32	-0.014664	-0.007351
5	S100A8	LST1	0.002311	0.019786	0.002998	-2.32	-0.016260	-0.008152
6	S100A8	S100A11	0.003422	0.015731	0.002378	-2.32	-0.024073	-0.012110
